0,"Fatty acids, total saturated"
1,"4:0"
2,"6:0"
3,"8:0"
4,"10:0"
5,"12:0"
6,"14:0"
7,"16:0"
8,"17:0"
9,"18:0"
10,"20:0"
11,"Fatty acids, total monounsaturated"
12,"16:1 undifferentiated"
13,"16:1 c"
14,"18:1 undifferentiated"
15,"18:1 c"
16,"18:1 t"
17,"20:1"
18,"22:1 undifferentiated"
19,"Fatty acids, total polyunsaturated"
20,"18:2 undifferentiated"
21,"18:2 n-6 c,c"
22,"18:2 CLAs"
23,"18:2 i"
24,"18:3 undifferentiated"
25,"18:3 n-3 c,c,c (ALA)"
26,"18:4"
27,"20:4 undifferentiated"
28,"20:5 n-3 (EPA)"
29,"22:5 n-3 (DPA)"
30,"22:6 n-3 (DHA)"
31,"Fatty acids, total trans"
32,"Fatty acids, total trans-monoenoic"
33,"Cholesterol"
34,"Stigmasterol"
35,"Campesterol"
36,"Beta-sitosterol"
37,"15:0"
38,"14:1"
39,"22:0"
40,"24:0"
41,"17:1"
42,"24:1 c"
43,"20:2 n-6 c,c"
44,"20:3 undifferentiated"
45,"21:5"
46,"22:4"
47,"15:1"
48,"18:3 n-6 c,c,c"
49,"13:0"
50,"16:1 t"
51,"22:1 c"
52,"22:1 t"
53,"18:2 t not further defined"
54,"20:3 n-6"
55,"Phytosterols"
56,"18:3i"
57,"18:2 t,t"
58,"Daidzein(1)"
59,"Genistein(1)"
60,"Glycitein(1)"
61,"Total isoflavones(1)"
62,"Daidzein(3)"
63,"Genistein(3)"
64,"Glycitein(3)"
65,"Total isoflavones(3)"
66,"Cyanidin(1)(2)(3)(4)(5)(6)"
67,"Petunidin(3)(6)"
68,"Delphinidin (1)(2)(3)(4)(5)(6)"
69,"Pelargonidin(6)"
70,"Peonidin(3)(6)"
71,"(+)-Catechin(7)"
72,"(-)-Epigallocatechin(7)"
73,"(-)-Epicatechin(7)"
74,"(-)-Epicatechin 3-gallate(7)"
75,"(-)-Epigallocatechin 3-gallate(7)"
76,"(+)-Gallocatechin(7)"
77,"Apigenin(8)"
78,"Luteolin(8)"
79,"Isorhamnetin(1)"
80,"Kaempferol(1)(4)(8)(9)(10)(11)"
81,"Myricetin(1)(4)(8)(9)(11)(12)(13)"
82,"Quercetin(1)(4)(8)(9)(10)(11)(12)(13)"
83,"Daidzein(14)(15)(16)"
84,"Genistein(14)(15)(16)"
85,"Glycitein(16)"
86,"Total isoflavones(14)(15)(16)"
87,"Formononetin"
88,"Coumestrol"
89,"Proanthocyanidin monomers(17)"
90,"Proanthocyanidin dimers(17)"
91,"Proanthocyanidin trimers(17)"
92,"Proanthocyanidin 4-6mers(17)"
93,"Proanthocyanidin 7-10mers(17)"
94,"Proanthocyanidin polymers (>10mers)(17)"
95,"(+)-Catechin(1)"
96,"(-)-Epicatechin(1)"
97,"Quercetin(1)"
98,"Apigenin(1)"
99,"Luteolin(1)"
100,"Kaempferol(1)"
101,"Myricetin(1)"
102,"Hesperetin(2)"
103,"Naringenin(2)"
104,"Eriodictyol(1)(2)"
105,"Hesperetin(1)(2)(3)"
106,"Naringenin(1)(2)(3)"
107,"Daidzein(2)"
108,"Genistein(2)"
109,"Total isoflavones(2)"
110,"Daidzein(2)(3)"
111,"Genistein(2)(3)"
112,"Glycitein(2)(3)"
113,"Total isoflavones(2)(3)"
114,"Glycitein(2)"
115,"20:4 n-6"
116,"Proanthocyanidin monomers(2)"
117,"Proanthocyanidin dimers(2)"
118,"Proanthocyanidin trimers(2)"
119,"Proanthocyanidin 4-6mers(2)"
120,"Proanthocyanidin 7-10mers(2)"
121,"Proanthocyanidin polymers (>10mers)(2)"
